scenario,feature,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio,d_intra_ge_inter,sample_d_intra_ge_inter_rate
all_line_length_+2percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0010625018614703679,0.015864826315679682,0.017506648950623715,0.9062171955595455,0,0
all_line_length_+2percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.00070297498376927414,0.010496523748517133,0.011582790306727771,0.90621719555954583,0,0
all_line_length_+2percent,amp_phase_joint,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.028342236026286809,0.15385085759735007,0.1739740906786201,0.88433201172211673,0,0.66666666666666663
all_line_length_-5percent,amplitude,6,0.66666666666666663,0.83333333333333337,0.33333333333333331,0.00043628195814591418,0.0076870480842947874,0.0086497767344247932,0.88869901736324675,0,0.16666666666666666
all_line_length_-5percent,amplitude_raw_db,6,0.5,0.83333333333333337,0.5,0.78023710312840222,4.1086948334430948,5.1358909433187412,0.79999651059337207,0,0.16666666666666666
all_line_length_-5percent,amplitude_db_standardized,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.01889284616334308,0.82378532642751379,0.83775987256857165,0.98331915075114318,0,0.66666666666666663
all_line_length_-5percent,phase,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.034116696034384109,0.5334471085748933,0.42819609174063689,1.2458009749841625,1,0.83333333333333337
all_line_length_-5percent,phase_masked,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.034116696034384088,0.53526910161998031,0.42861788800690004,1.2488258577098008,1,0.83333333333333337
all_line_length_-5percent,phase_weighted,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.034271338627250299,0.49787777244496234,0.38848212472821902,1.2815976353951322,1,0.83333333333333337
all_line_length_-5percent,complex,6,0,0,0.5,0.00016697434155461011,0.031198580892740694,0.030401874526515757,1.026205830352009,1,1
all_line_length_-5percent,cir,6,0,0,0.5,0.00011047395708257909,0.020641678562659738,0.020114559820400977,1.0262058303520087,1,1
all_line_length_-5percent,amp_phase_joint,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.024110831584031347,0.37724384334296096,0.30285577502099714,1.2456220896458272,1,0.83333333333333337
all_line_length_+5percent,amplitude,6,0.5,0.66666666666666663,0.5,0.0006332593044242902,0.0073972049198886324,0.0086780817874690039,0.85240092235245635,0,0.33333333333333331
all_line_length_+5percent,amplitude_raw_db,6,0.83333333333333337,0.83333333333333337,0.5,0.75273651137525854,3.8939920851977514,4.9517729812136357,0.7863834024643368,0,0.16666666666666666
all_line_length_+5percent,amplitude_db_standardized,6,0.5,0.66666666666666663,0.5,0.034983433637531404,0.7959560256192898,0.83379238110822174,0.95462137056392582,0,0.33333333333333331
all_line_length_+5percent,phase,6,0.16666666666666666,0.16666666666666666,0,0.055332954796347728,0.53784394301804916,0.43890911843554181,1.2254107295267709,1,0.83333333333333337
all_line_length_+5percent,phase_masked,6,0.16666666666666666,0.16666666666666666,0,0.054364765938827685,0.53948150603507405,0.44096983102570081,1.2233977657388351,1,0.83333333333333337
all_line_length_+5percent,phase_weighted,6,0.16666666666666666,0.16666666666666666,0,0.054830638040468928,0.50288953333381514,0.38997333658302485,1.2895485053931388,1,0.83333333333333337
all_line_length_+5percent,complex,6,0.16666666666666666,0.16666666666666666,0,0.00032194949303013948,0.030967551457227738,0.030183214283343234,1.0259858730260329,1,0.83333333333333337
all_line_length_+5percent,cir,6,0.16666666666666666,0.16666666666666666,0,0.0002130089817670358,0.020488824323463203,0.019969889315370071,1.0259858730260325,1,0.83333333333333337
all_line_length_+5percent,amp_phase_joint,6,0.16666666666666666,0.16666666666666666,0,0.039116877727823886,0.380349896270263,0.3104340463946223,1.2252196583707318,1,0.83333333333333337
branch_load_-10percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0035603704579231844,0.00026146083483057932,0.0052850116381705815,0.049472139842076976,0,0
branch_load_-10percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,3.0270659781130314,0.2252137831775661,4.2605551612907471,0.052860196535828199,0,0
branch_load_-10percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.3556191129373894,0.023407517127397342,0.49280250174522516,0.04749877901289315,0,0
branch_load_-10percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.11295521813984429,0.012271466254904545,0.1747907663039048,0.070206604813256676,0,0
